,active_time,date,distance,id,jawbone_user_id,steps,steps_id,timezone,updated
0,5035,2017-10-29 00:00:00+00:00,6741.0,2245,16,8897,bX3-RWb8M9BbZnI6c0u-9jUA7qNA6TBS,Europe/Berlin,2017-10-29 20:36:00+00:00
1,4527,2017-10-28 00:00:00+00:00,5389.0,2244,16,7486,bX3-RWb8M9BJpwx5dALFrp3Prf3USq-1,Europe/Berlin,2017-10-28 19:26:00+00:00
2,2973,2017-10-27 00:00:00+00:00,3989.0,2243,16,5274,bX3-RWb8M9C9D0unhG8WHD-EETwFfBrf,Europe/Berlin,2017-10-27 20:37:00+00:00
3,9932,2017-10-26 00:00:00+00:00,17927.0,2242,16,19738,bX3-RWb8M9AAISX6IaJLXFBbeNeY8XzD,Europe/Berlin,2017-10-26 21:41:00+00:00
4,5619,2017-10-25 00:00:00+00:00,7074.0,2241,16,9578,bX3-RWb8M9C5RRahzJ3Ik5k9Vf3L9KOj,Europe/Berlin,2017-10-25 21:12:00+00:00
5,4960,2017-10-24 00:00:00+00:00,6277.0,2240,16,8495,bX3-RWb8M9CgOvuOAOIxO9H7skbW7H-L,Europe/Berlin,2017-10-24 20:41:00+00:00
6,4522,2017-10-23 00:00:00+00:00,6160.0,2239,16,8082,bX3-RWb8M9CD8_NtZlYW-fyHa-LsLeUx,Europe/Berlin,2017-10-23 20:18:00+00:00
7,3785,2017-10-22 00:00:00+00:00,5052.0,2238,16,6450,bX3-RWb8M9CL5dQyMLmNOI9I3Ne24MTU,Europe/Berlin,2017-10-22 19:13:00+00:00
8,6742,2017-10-21 00:00:00+00:00,8467.0,2237,16,11379,bX3-RWb8M9A4tSJrSDo0YWzErkpw-UAc,Europe/Berlin,2017-10-21 20:58:00+00:00
9,7990,2017-10-20 00:00:00+00:00,15752.0,2236,16,16538,bX3-RWb8M9DOlbT2XxIG_4Wt-8LRvV-8,Europe/Berlin,2017-10-20 20:48:00+00:00
10,8289,2017-10-19 00:00:00+00:00,11121.0,2235,16,14713,bX3-RWb8M9DqI8EH4ogsO00ISdWY1xQR,Europe/Berlin,2017-10-19 19:46:00+00:00
11,8423,2017-10-18 00:00:00+00:00,16813.0,2234,16,17511,bX3-RWb8M9B1X_QTWPKpecXN4dN7KURl,Europe/Berlin,2017-10-18 21:30:00+00:00
12,2491,2017-10-17 00:00:00+00:00,3373.0,2233,16,4445,bX3-RWb8M9DxJlFxOYZAlGhwwn3Mz7kh,Europe/Berlin,2017-10-17 20:18:00+00:00
13,2181,2017-11-03 00:00:00+00:00,3340.0,2251,16,4184,bX3-RWb8M9DrEsTRn3fRHCLdkvwIzFtS,Europe/Berlin,2017-11-03 11:01:00+00:00
14,1464,2017-11-02 00:00:00+00:00,3866.0,2249,16,3442,bX3-RWb8M9C_4gxa94xLA3DlHMdlJvyM,Europe/Berlin,2017-11-02 21:50:00+00:00
15,4516,2017-11-01 00:00:00+00:00,6466.0,2248,16,8340,bX3-RWb8M9AW-2OGI5FFcO5XN-xvmXrm,Europe/Berlin,2017-11-01 22:07:00+00:00
16,4817,2017-10-31 00:00:00+00:00,6996.0,2247,16,8967,bX3-RWb8M9D2dKhB_g3lz3AXZ0Inu2_b,Europe/Berlin,2017-10-31 19:27:00+00:00
17,4871,2017-10-30 00:00:00+00:00,7499.0,2246,16,9429,bX3-RWb8M9BuzFB2btlcJD9qMMrBPOcP,Europe/Berlin,2017-10-30 22:19:00+00:00
18,6504,2017-10-16 00:00:00+00:00,9781.0,2232,16,12383,bX3-RWb8M9B2XvAw1eCEk4XB4Pyc_WKn,Europe/Berlin,2017-10-16 18:20:00+00:00
19,4582,2017-10-15 00:00:00+00:00,6161.0,2231,16,8135,bX3-RWb8M9Aa-I8APFIZtMOCoJmD4nGX,Europe/Berlin,2017-10-15 20:21:00+00:00
20,7329,2017-10-14 00:00:00+00:00,10552.0,2230,16,13540,bX3-RWb8M9ArimitlhzZksMQJH123XCI,Europe/Berlin,2017-10-14 20:11:00+00:00
21,2982,2017-10-13 00:00:00+00:00,4132.0,2229,16,5360,bX3-RWb8M9Bz_vLAyLLl3Ybp49-4Ayxi,Europe/Berlin,2017-10-13 21:59:00+00:00
22,5435,2017-10-12 00:00:00+00:00,7336.0,2228,16,9687,bX3-RWb8M9CuUXwO_aEeCKBuI7-Ox_yw,Europe/Berlin,2017-10-12 20:42:00+00:00
23,4332,2017-10-11 00:00:00+00:00,10514.0,2227,16,9904,bX3-RWb8M9DVhprk2ndGLnZjDsPY84KJ,Europe/Berlin,2017-10-11 20:50:00+00:00
24,7548,2017-10-10 00:00:00+00:00,10671.0,2226,16,13786,bX3-RWb8M9DI3XaUGmsqUOMjVMM8L7IY,Europe/Berlin,2017-10-10 20:04:00+00:00
25,5650,2017-10-09 00:00:00+00:00,8451.0,2225,16,10724,bX3-RWb8M9CJ3dKSsD_MrzatUBC4053v,Europe/Berlin,2017-10-09 19:40:00+00:00
26,6195,2017-10-08 00:00:00+00:00,12945.0,2224,16,13042,bX3-RWb8M9DoHJjLi1Nynguay-p4g5cE,Europe/Berlin,2017-10-08 21:45:00+00:00
27,3584,2017-10-07 00:00:00+00:00,5443.0,2223,16,6872,bX3-RWb8M9Avb5DRx0DFnHDkey8GY93Z,Europe/Berlin,2017-10-07 19:27:00+00:00
28,5919,2017-10-06 00:00:00+00:00,12783.0,2195,16,12704,Pr6SIQkYTb1gQ7uwgjrDPmfQNhJ0Viw0,Europe/Berlin,2017-10-06 20:58:00+00:00
29,552,2017-10-05 00:00:00+00:00,793.0,2193,16,1017,Pr6SIQkYTb39FO_2FEnWHMtD7I8CU0IX,Europe/Berlin,2017-10-05 18:59:00+00:00
